Food item ;Emissions per kilogram;Emissions by portion;Food category
Ale;0,488689869;0,122172467;ALC
Beer;0,686283222;0,171570805;ALC
Cider;1,081632867;0,270408217;ALC
Wine;1,722880827;0,430720207;ALC
Almond milk;0,65588754;0,163971885;BEV
Apple juice;0,4583784;0,1145946;BEV
Coconut milk;3,319989782;0,829997445;BEV
Coffee beans;16,82460829;4,206152071;BEV
Coffee pods;20,29976356;5,074940889;BEV
Cow's milk;3,703236627;0,925809157;BEV
Fruit smoothies;1,648914744;0,412228686;BEV
Instant coffee;28,78364132;7,195910329;BEV
Oat milk;0,453280591;0,113320148;BEV
Orange juice;0,488848406;0,122212102;BEV
Protein shake;1,743728919;0,43593223;BEV
Rice milk;1,441797077;0,360449269;BEV
Soy milk;0,893107838;0,22327696;BEV
Tea;17,62104352;4,40526088;BEV
Apricot jam;1,38210509;0,345526272;DIY_bf
Breakfast cereal;1,493427276;0,373356819;DIY_bf
Chocolate cereals;2,877625559;0,71940639;DIY_bf
Chocolate spread;5,372300394;1,343075098;DIY_bf
Marmalade;1,548921275;0,387230319;DIY_bf
Muesli;2,271910571;0,567977643;DIY_bf
Pancakes;1,547808888;0,386952222;DIY_bf
Porridge (oatmeal);1,555169024;0,388792256;DIY_bf
Raspberry jam;5,107337593;1,276834398;DIY_bf
Soy yoghurt;0,496019817;0,124004954;DIY_bf
Strawberry jam;2,596662555;0,649165639;DIY_bf
Yoghurt;3,111810731;0,777952683;DIY_bf
Baguette;0,995644422;0,248911105;DIY_bread
Bread;0,878760846;0,219690212;DIY_bread
Naan;1,01323422;0,253308555;DIY_bread
Pitta bread;0,563560786;0,140890196;DIY_bread
Poppadoms;1,50061802;0,375154505;DIY_bread
Sourdough bread;0,851167274;0,212791818;DIY_bread
Tortilla wraps;0,948583667;0,237145917;DIY_bread
Blue cheese;20,10575331;5,026438327;DIY_chee
Brie;19,13958143;4,784895359;DIY_chee
Camembert;16,28143046;4,070357616;DIY_chee
Cheddar cheese;20,74904454;5,187261134;DIY_chee
Cottage cheese;25,27850314;6,319625785;DIY_chee
Feta cheese;14,83860917;3,709652292;DIY_chee
Goat's cheese;19,31207302;4,828018255;DIY_chee
Halloumi cheese;16,17245239;4,043113098;DIY_chee
Mozzarella cheese;16,23319996;4,058299991;DIY_chee
Parmesan cheese;24,01647983;6,004119957;DIY_chee
Ricotta cheese;16,29497359;4,073743397;DIY_chee
Eggs;4,43660007;1,109150018;DIY_eggs
Butter;3,324503183;0,332450318;DIY_fat
Coconut oil;0,528741281;0,052874128;DIY_fat
Olive oil;5,184628231;0,518462823;DIY_fat
Rapeseed oil;3,288695422;0,328869542;DIY_fat
Sugar;1,851685668;0,185168567;DIY_fat
